연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2023-05-31,2023-05-31~2023-06-07,나노전자,전기 부품·제품 조립·검사원,상용직,시급,10000 ,무관,무관,무관,,    ,경기도 화성시 마도면 청원산단1길 10-9 나노전자,중소,경기지역본부,2023-05-31,1588-1519
2,2023-05-31,2023-05-31~2023-07-07,클린서비스,섬유·의복 분야 단순 종사원,상용직,시급,9620 ,무관,무관,무관,,    ,대전광역시 대덕구 신탄진로839번길 37 (신탄진동),중소,대전지역본부,2023-05-31,1588-1519
3,2023-05-31,2023-05-31~2023-06-17,사단법인 충북중증장애인복지협회,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620 ,무관,0년개월,무관,,    ,"충청북도 청주시 청원구 덕벌로41번길 7-2 (내덕동) 102호, 201호","협회,단체",충북지사,2023-06-02,1588-1519
4,2023-05-31,2023-05-31~2023-06-07,전라북도과학교육원,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",상용직,월급,1650420 ,무관,0년개월,무관,,    ,전라북도 익산시 선화로 836-2 (부송동),"공사,공공",전북지사,2023-05-31,1588-1519
5,2023-05-31,2023-05-31~2023-06-09,리엔장성형외과피부과의원,사무 보조원(일반사업체),상용직,연봉,33000000 ,무관,무관,무관,,    ,서울특별시 서초구 서초대로77길 55  (서초동),중소,서울동부지사,2023-05-31,1588-1519
6,2023-05-31,2023-05-31~2023-07-30,지멘스 헬시니어스(주),인사 사무원,계약직,월급,1150000 ,무관,무관,무관,,    ,경상북도 포항시 남구 지곡로 394 2벤처동,중소,서울동부지사,2023-05-31,1588-1519
7,2023-05-31,2023-05-31~2023-06-30,주)덕용푸드시스템,주방 보조원(일반 음식점),상용직,시급,9620 ,무관,무관,무관,,    ,서울특별시 마포구 월드컵북로 14 3층 (동교동),중소,서울동부지사,2023-05-31,1588-1519
8,2023-05-31,2023-05-31~2023-06-30,(유)아웃백스테이크하우스코리아,주방 보조원(일반 음식점),상용직,시급,11560 ,무관,무관,무관,,    ,경기도 하남시 미사대로 750 지하1층 아웃백스테이크하우스 하남스타필드점 (신장동),중소,경기동부지사,2023-05-31,1588-1519
9,2023-05-31,2023-05-31~2023-06-06,한화시스템(주),총무 및 일반 사무원,계약직,월급,2400000 ,무관,0년개월,무관,,    ,경상북도 구미시 1공단로 244 (공단동),대기업,경기동부지사,2023-05-31,1588-1519
10,2023-05-31,2023-05-31~2023-06-30,건국대학교병원,의료 보조원,계약직,월급,1100000 ,무관,무관,무관,,    ,서울특별시 광진구 동일로24길 63 건국대학교 병원 (화양동) (화양동),중소,서울북부지사,2023-05-31,1588-1519
11,2023-05-31,2023-05-31~2023-06-30,(주)이피엠네트워크,사무 보조원(일반사업체),상용직,월급,2000000 ,무관,무관,무관,,    ,서울특별시 성동구 천호대로 426 장호빌딩 201호 (용답동),중소,서울북부지사,2023-05-31,1588-1519
12,2023-05-31,2023-05-31~2023-06-30,면목고등학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,월급,1200000 ,무관,무관,무관,,    ,"서울특별시 중랑구 용마산로 193 (면목동), 72길 36-14","공사,공공",서울북부지사,2023-05-31,1588-1519
13,2023-05-31,2023-05-31~2023-06-30,한국국제보건의료재단,사무 보조원(공공기관),계약직,월급,2000000 ,무관,0년개월,무관,,    ,"서울특별시 광진구 능동로 400 (중곡동,보건복지행정타운) 6층, 7층 ","공사,공공",서울북부지사,2023-05-31,1588-1519
14,2023-05-31,2023-05-31~2023-06-30,세창의료재단,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,월급,2010580 ,무관,0년개월,무관,,    ,경기도 안산시 단원구 고잔로 58-10 (고잔동),중소,경기서부지사,2023-05-31,1588-1519
15,2023-05-31,2023-05-31~2023-05-31,(주)이랑,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,9160 ,무관,무관,무관,,    ,경기도 안양시 만안구 안양로329번길 108 안양월드204호,중소,경기서부지사,2023-06-02,1588-1519
16,2023-05-31,2023-05-31~2023-06-01,주식회사 에스티엔인포텍,화가 및 조각가,상용직,월급,1000000 ,무관,0년개월,무관,,    ,경기도 광명시 하안로 60 A동 8층 10~13호  (소하동),중소,경기서부지사,2023-05-31,1588-1519
17,2023-05-31,2023-05-31~2023-06-20,한국다인개발(주),"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",상용직,월급,2670000 ,무관,무관,무관,,    ,충청북도 청주시 서원구 사직대로 259 4층 (사직동),중소,충남지사,2023-05-31,1588-1519
18,2023-05-31,2023-05-31~2023-07-31,서천초등학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,월급,1338750 ,무관,무관,무관,,    ,충청남도 서천군 서천읍 서천로98번길 34 (군사리),"공사,공공",충남지사,2023-05-31,1588-1519
19,2023-05-31,2023-05-31~2023-08-30,서산성봉학교 학교기업 징검다리,음료 조리사(바리스타 포함),상용직,시급,9620 ,무관,0년개월,무관,,    ,충청남도 서산시 성연면 명천1길 181-16 -,"협회,단체",충남지사,2023-05-31,1588-1519
20,2023-05-31,2023-05-31~2023-08-30,신암세일마트,대형마트 판매원,상용직,시급,9620 ,무관,0년개월,무관,,    ,충청남도 예산군 신암면 추사로 190 신암세일마트,개인,충남지사,2023-05-31,1588-1519
21,2023-05-31,2023-05-31~2023-08-30,디비손해보험주식회사,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",시간제,시급,9620 ,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 432  (대치동),중소,전남지사,2023-06-05,1588-1519
22,2023-05-31,2023-05-31~2023-06-30,(주)에스얜에스,전기·전자 분야 단순 종사원,상용직,시급,9620 ,무관,무관,무관,,    ,전라남도 나주시 왕곡면 혁신산단7길 105 (덕산리),중소,전남지사,2023-05-31,1588-1519
23,2023-05-31,2023-05-31~2023-07-07,대성사회복지재단,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620 ,무관,0년개월,무관,,    ,"경상북도 안동시 임하면 진사리길 14 (고곡리), 대성사회복지재단",중소,경북지사,2023-05-31,1588-1519
24,2023-05-31,2023-05-31~2023-06-16,킹덤플랜트협동조합,직업 운동선수,상용직,시급,9620 ,무관,무관,무관,,    ,경상북도 안동시 중앙로 72 (동부동) 킹덤플랜트 협동조합,중소,경북지사,2023-06-01,1588-1519
25,2023-05-31,2023-05-31~2023-06-23,안동모꼬지,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620 ,무관,0년개월,무관,,    ,경상북도 안동시 대안로 98-8 1층 (옥야동),개인,경북지사,2023-05-31,1588-1519
26,2023-05-31,2023-05-31~2023-06-30,주식회사 요양엔갑부울산점,기타 식품가공 종사원,상용직,시급,9620 ,무관,0년개월,무관,,    ,울산광역시 중구 구교12길 1 (반구동),중소,울산지사,2023-05-31,1588-1519
27,2023-05-31,2023-05-31~2023-06-05,한국방송통신대학교,환경 미화원,상용직,연봉,27000000 ,무관,무관,무관,,    ,서울특별시 종로구 대학로 86  (동숭동),"공사,공공",서울지역본부,2023-05-31,1588-1519
28,2023-05-31,2023-05-31~2023-06-30,(주)이크루즈,주방 보조원(일반 음식점),계약직,시급,9620 ,무관,0년개월,무관,,    ,서울특별시 영등포구 여의동로 290 (여의도동),개인,서울남부지사,2023-05-31,1588-1519
29,2023-05-31,2023-05-31~2023-06-30,국사봉중학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,12030 ,무관,0년개월,무관,,    ,서울특별시 동작구 상도동 산 65-41번지,"공사,공공",서울남부지사,2023-06-07,1588-1519
30,2023-05-31,2023-05-31~2023-06-02,사단법인한국화학물질관리협회,사무 보조원(일반사업체),계약직,월급,2110580 ,무관,무관,무관,,    ,서울특별시 양천구 곰달래로 34 kcma빌딩 (신월동),중소,서울남부지사,2023-06-02,1588-1519
31,2023-05-31,2023-05-31~2023-07-31,한국투자증권㈜,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",시간제,시급,11000 ,무관,무관,무관,,    ,서울특별시 영등포구 의사당대로 88  (여의도동),중소,부산지역본부,2023-05-31,1588-1519
32,2023-05-31,2023-05-31~2023-06-30,(주)핸드,세탁원(다림질원),시간제,시급,9620 ,무관,무관,무관,,    ,부산광역시 강서구 녹산산단382로14번길 27  (송정동),중소,부산지역본부,2023-05-31,1588-1519
33,2023-05-31,2023-05-31~2023-06-30,버팀병원,사무 보조원(일반사업체),계약직,월급,759980 ,무관,0년개월,무관,,    ,경기도 수원시 영통구 영통로 195 버팀병원  (망포동),중소,부산지역본부,2023-06-05,1588-1519
34,2023-05-31,2023-05-31~2023-07-30,(주)베스트모카,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620 ,무관,0년개월,무관,,    ,경상북도 성주군 선남면 도흥길 47-21 (주)베스트모카,개인,대구지역본부,2023-05-31,1588-1519
35,2023-05-31,2023-05-31~2023-06-30,한국맥도날드(유) 청라DT점,주방 보조원(일반 음식점),계약직,시급,9620 ,무관,0년개월,무관,,    ,인천광역시 서구 원창로 8 (청라동),대기업,인천지사,2023-06-01,1588-1519
36,2023-05-31,2023-05-31~2023-06-09,(주)세스코,사무 보조원(일반사업체),계약직,연봉,16300000 ,무관,무관,무관,,    ,서울특별시 강동구 상일로10길 46 (상일동),중소,대전지역본부,2023-05-31,1588-1519
37,2023-05-31,2023-06-01~2023-06-07,대전신일여자고등학교,학교행정 사무원(교무),계약직,월급,2070000 ,무관,0년개월,무관,,    ,대전광역시 중구 부사로 48 (부사동) 대전신일여자고등학교,중소,대전지역본부,2023-05-31,1588-1519
38,2023-05-31,2023-05-31~2023-08-25,주식회사 네이처앤드피플,음료 조리사(바리스타 포함),상용직,시급,9620 ,무관,무관,무관,,    ,강원도 춘천시 금강로83번길 26 (조양동),중소,강원지사,2023-06-02,1588-1519
39,2023-05-30,2023-05-30~2023-08-29,꽃동네제빵소협동조합,음료 조리사(바리스타 포함),상용직,시급,9620 ,무관,0년개월,무관,,    ,충청북도 음성군 맹동면 원중로1119번길 42 꽃동네학교 내,"협회,단체",충북지사,2023-05-30,1588-1519
40,2023-05-30,2023-05-30~2023-06-02,(주)오르비텍,머시닝센터(MCT) 조작원,상용직,연봉,29000000 ,무관,0년개월,무관,,    ,서울특별시 구로구 디지털로33길 28 (구로동) 708호,중소,경남지사,2023-05-30,1588-1519
41,2023-05-30,2023-05-30~2023-06-07,한국토지주택공사,공공행정 사무원,상용직,연봉,22973000 ,무관,무관,무관,,    ,경상남도 진주시 충의로 19 한국토지주택공사 (충무공동),"공사,공공",경남지사,2023-05-30,1588-1519
42,2023-05-30,2023-05-30~2023-08-29,(주)제주로얄식품,식품 분야 단순 종사원,상용직,시급,9620 ,무관,무관,무관,,    ,제주특별자치도 제주시 아란서길 91 6060-3 (아라일동),중소,제주지사,2023-05-30,1588-1519
43,2023-05-30,2023-05-30~2023-06-30,이엘씨에이한국,음료 조리사(바리스타 포함),계약직,월급,1365000 ,무관,0년개월,무관,,    ,서울특별시 강남구 강남대로 382 9층 (역삼동),외국계,서울동부지사,2023-05-30,1588-1519
44,2023-05-30,2023-05-30~2023-06-30,한국토지주택공사,공공행정 사무원,계약직,월급,2000000 ,무관,무관,무관,,    ,서울특별시 강남구 선릉로121길 12 (논현동),중소,서울동부지사,2023-05-30,1588-1519
45,2023-05-30,2023-05-30~2023-06-01,삼성생명보험(주),사무 보조원(일반사업체),계약직,월급,1174000 ,무관,무관,무관,,    ,"서울특별시 서초구 서초대로74길 11 (서초동, 삼성전자 서초사옥) (서초동)",중소,경기동부지사,2023-06-01,1588-1519
46,2023-05-30,2023-05-30~2023-06-30,(주)정희씨앤씨,사무 보조원(일반사업체),상용직,월급,1005290 ,무관,무관,무관,,    ,경기도 하남시 조정대로 150 아이테코 오렌지존 10층 1022호 (덕풍동),대기업,경기동부지사,2023-05-30,1588-1519
47,2023-05-30,2023-05-30~2023-06-30,(주)휴온스푸디언스,직업 운동선수,계약직,시급,10002 ,무관,무관,무관,,    ,충청남도 금산군 금산읍 인삼광장로 19 휴온스푸디언스,중소,경기동부지사,2023-05-30,1588-1519
48,2023-05-30,2023-05-30~2023-06-08,한국전력공사 경기북부본부,사무 보조원(공공기관),계약직,월급,2010580 ,무관,무관,무관,,    ,경기도 의정부시 용민로19번길 80 (용현동),"공사,공공",경기동부지사,2023-05-30,1588-1519
49,2023-05-30,2023-05-30~2023-06-02,(주)싸인텔레콤,직업 운동선수,계약직,시급,9620 ,무관,0년개월,무관,,    ,서울특별시 영등포구 경인로 775 (문래동3가),중소,경기서부지사,2023-05-30,1588-1519
50,2023-05-30,2023-05-30~2023-06-30,현담산업(주),전기 부품·제품 조립·검사원,상용직,연봉,41000000 ,무관,무관,무관,,    ,충청남도 아산시 영인면 역리길 29 현담산업,중소,충남지사,2023-05-30,1588-1519
51,2023-05-30,2023-05-30~2023-08-25,천안재활병원,기타 보건·의료 서비스 종사원,상용직,월급,2010580 ,무관,0년개월,무관,,    ,충청남도 천안시 서북구 쌍용대로 225 SRRC 천안재활병원 (성정동),개인,충남지사,2023-05-30,1588-1519
52,2023-05-30,2023-05-30~2023-06-30,동신대목포한방병원,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",계약직,월급,2010580 ,무관,무관,무관,,    ,전라남도 목포시 백년대로 313  (상동),중소,전남지사,2023-06-05,1588-1519
53,2023-05-30,2023-05-30~2023-06-09,(주)오리엔트정공,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620 ,무관,무관,무관,,    ,경상북도 구미시 수출대로9길 26-5 (공단동),중소,경북지사,2023-05-30,1588-1519
54,2023-05-30,2023-05-30~2023-06-09,(주)오리엔트플라스틱,자동차 부분품 조립·검사원,상용직,시급,9620 ,무관,0년개월,무관,,    ,경상북도 구미시 수출대로9길 26-5 (공단동),중소,경북지사,2023-06-05,1588-1519
55,2023-05-30,2023-05-30~2023-06-01,의료법인 은성의료재단 좋은삼정병원,간호조무사(요양병원 제외),계약직,시급,9620 ,무관,무관,무관,,    ,울산광역시 남구 무거동 217-1,대기업,울산지사,2023-06-01,1588-1519
